D1BPM6_VEIPT,A0A2D3P600_9FUSO,C0EJJ1_NEIFL,L1MCS5_9BACT,C3JCB2_POREA,A0A7W4HJV8_9BACT,D6GSY8_FILAD,W1W7T9_9FIRM,U2MCA6_9BACT,E6KWI6_9PAST,A0A2W5KWT7_9CORY,A0A380N4Y6_9FIRM,D1BP93_VEIPT,A0A239YF41_9FIRM,A0A7W4HEW8_9BACT,E4LDI2_9FIRM,A0A3P2AFV8_9FIRM,A0A3P1ZCI1_9BACT,A0A069ZK08_9PORP,A0A2G6QS19_9SPIR,NUOD_NEIMB,D2NQS3_ROTMD,A7B9J2_9ACTO,X8ISL9_9STRE,E3H5W3_ROTDC,UPI000F66B8D6,F1ZRM2_9FLAO,C0EJZ3_NEIFL,A0A6L5DSP1_9BACT,A0A2I1Z7Q9_9MICC,label
0.014938099,0.0134995645,0.014553007,0.0155338505,0.0137725305,0.0136145055,0.014935276,0.012145755,0.014798274,0.01363281,0.014508135,0.014135572,0.01525566,0.014142019,0.013870097,0.01349765,0.014416206,0.0141108455,0.013538829,0.013467563,0.012949911,0.015139667,0.017144822,0.013734868,0.016051069,0.013713476,0.014228478,0.013425338,0.014935762,0.016057266,1
0.01653652,0.013512024,0.0137554,0.0155825615,0.013830624,0.014175493,0.01417847,0.013382075,0.01536848,0.0135170985,0.014449095,0.013930156,0.014992492,0.014108686,0.013467566,0.014389311,0.0148486225,0.013547249,0.013762762,0.013975298,0.0127377985,0.015060321,0.016426321,0.013913053,0.015440769,0.013575499,0.014050357,0.013873382,0.014608815,0.016246496,0
0.014750569,0.013221995,0.014668202,0.01584411,0.014186709,0.013976094,0.015846351,0.012084882,0.01404585,0.013658044,0.014004343,0.013264801,0.016566675,0.014007339,0.013763647,0.013162777,0.014782012,0.013868881,0.013665269,0.013780075,0.0128920665,0.0150682805,0.017248776,0.013896401,0.015470832,0.01403721,0.014186223,0.014318516,0.014170425,0.016055165,1
0.014279491,0.014274979,0.017380763,0.015434536,0.0135905985,0.0134412125,0.018558053,0.011613286,0.012929798,0.013598706,0.013417579,0.013805187,0.015444744,0.013468452,0.0136714615,0.013910035,0.015047453,0.01470806,0.0139625175,0.013706153,0.013860298,0.013954931,0.016638897,0.0134676425,0.014154508,0.013648928,0.014920242,0.01474793,0.014351014,0.014845085,1
0.0161042,0.014404751,0.01496455,0.014742703,0.013654663,0.013862973,0.015341073,0.012353057,0.014677015,0.0136222895,0.014436926,0.013671212,0.015313406,0.013717917,0.013741248,0.01425426,0.014787769,0.013942718,0.013815124,0.0136493975,0.012496766,0.01492775,0.01614003,0.013613374,0.015884059,0.013386937,0.0141661195,0.013506574,0.013766779,0.0158443,1
0.014674993,0.014334685,0.014416439,0.015276873,0.0134454975,0.013563317,0.015766727,0.013018375,0.013372179,0.013815927,0.013618604,0.014930095,0.015068426,0.0134356115,0.013815986,0.014473928,0.014606784,0.0141234975,0.013707613,0.013707263,0.012642947,0.014320994,0.015511309,0.013493456,0.014395195,0.013352225,0.01422564,0.014276138,0.013358847,0.015200863,0
0.016021231,0.014335655,0.015545347,0.015071148,0.014423653,0.014277708,0.016769307,0.014767976,0.015565084,0.0136809535,0.013804775,0.014084196,0.014806889,0.013796569,0.013975355,0.015062906,0.0145542165,0.014220351,0.013723328,0.013649256,0.012202546,0.014504094,0.01645335,0.013381304,0.015766239,0.013458012,0.014302824,0.013417292,0.014063994,0.015076234,0
0.014165858,0.013990114,0.014218256,0.0150681175,0.013493017,0.013374028,0.016252467,0.012204956,0.013090125,0.012979384,0.013648463,0.013375013,0.015592807,0.0132168615,0.013659624,0.013083298,0.014283581,0.013563682,0.013816264,0.014056428,0.013738677,0.01424238,0.016777106,0.0135333035,0.015337729,0.013392799,0.013991106,0.014671345,0.013267919,0.015699895,1
0.013945815,0.013623197,0.014259234,0.015993794,0.013757519,0.013869441,0.017818928,0.012734623,0.014851646,0.014691051,0.0153543195,0.013032118,0.014442548,0.0139165325,0.013640892,0.013828522,0.014533491,0.014544765,0.01393644,0.013361546,0.012300517,0.015900789,0.016390875,0.013319368,0.016678471,0.013739511,0.015111733,0.014129691,0.014065958,0.017250327,1
0.014991142,0.013745826,0.014491014,0.016007155,0.013870615,0.014303358,0.014700588,0.013405897,0.013844125,0.0138998395,0.014888101,0.013468607,0.015873717,0.013180933,0.014235417,0.013929538,0.0148006175,0.013421049,0.013857088,0.014176933,0.012629214,0.015445232,0.01621095,0.013911041,0.015500183,0.013954401,0.014126521,0.013931578,0.013380332,0.016442955,1
